county,fips,mean_score,Decrease_50,Decrease_95,Increase_20 ,Increase_50
Adams,31001,0.09977381,0.092,0.083,0.147,0.197
Antelope,31003,0.117166667,0.117,0.117,0.254,0.3
Arthur,31005,,,,,
Banner,31007,,,,,
Blaine,31009,,,,,
Boone,31011,0.24925,0.206,0.178,0.32,0.32
Box Butte,31013,0.149144928,0.137,0.114,0.176,0.246
Boyd,31015,,,,,
Brown,31017,0.098333333,0.09,0.09,0.131,0.188
Buffalo,31019,0.134025,0.127,0.111,0.207,0.252
Burt,31021,0.217416667,0.206,0.195,0.263,0.274
Butler,31023,0.148111111,0.123,0.116,0.173,0.275
Cass,31025,0.115245614,0.094,0.088,0.163,0.226
Cedar,31027,0.087583333,0.07,0.07,0.145,0.207
Chase,31029,0.114111111,0.095,0.076,0.114,0.171
Cherry,31031,0.180166667,0.135,0.135,0.18,0.317
Cheyenne,31033,0.142553333,0.131,0.117,0.184,0.241
Clay,31035,0.165733333,0.143,0.143,0.2,0.28
Colfax,31037,0.14997619,0.109,0.093,0.24,0.24
Cuming,31039,0.151940476,0.144,0.132,0.168,0.209
Custer,31041,0.095645833,0.089,0.081,0.124,0.174
Dakota,31043,0.092462963,0.092,0.092,0.118,0.244
Dawes,31045,0.156305556,0.142,0.128,0.266,0.313
Dawson,31047,0.127369048,0.122,0.114,0.179,0.22
Deuel,31049,0.145666667,0.146,0.134,0.191,0.191
Dixon,31051,0.0827,0.083,0.083,0.128,0.174
Dodge,31053,0.119566667,0.104,0.102,0.171,0.226
Douglas,31055,0.148153153,0.135,0.123,0.185,0.252
Dundy,31057,0.099888889,0.1,0.081,0.176,0.176
Fillmore,31059,0.085642857,0.086,0.086,0.086,0.151
Franklin,31061,0.111777778,0.112,0.112,0.188,0.188
Frontier,31063,0.128928571,0.129,0.105,0.129,0.194
Furnas,31065,0.218555556,0.219,0.171,0.219,0.257
Gage,31067,0.138916667,0.121,0.106,0.156,0.192
Garden,31069,0.10625,0.092,0.092,0.149,0.263
Garfield,31071,,,,,
Gosper,31073,0.239,0.239,0.239,0.239,0.239
Grant,31075,0.165833333,0.109,0.109,0.166,0.337
Greeley,31077,0.176583333,0.148,0.148,0.262,0.376
Hall,31079,0.119502646,0.11,0.1,0.148,0.196
Hamilton,31081,0.127909091,0.118,0.102,0.19,0.263
Harlan,31083,0.129111111,0.11,0.11,0.186,0.262
Hayes,31085,0.194,0.137,0.137,0.194,0.365
Hitchcock,31087,0.066833333,0.067,0.067,0.143,0.219
Holt,31089,0.075761905,0.076,0.068,0.076,0.108
Hooker,31091,,,,,
Howard,31093,0.113416667,0.113,0.113,0.17,0.227
Jefferson,31095,0.169648148,0.132,0.132,0.208,0.284
Johnson,31097,0.039611111,0.04,0.04,0.116,0.192
Kearney,31099,0.102233333,0.091,0.091,0.193,0.228
Keith,31101,0.154166667,0.14,0.14,0.211,0.292
Keya Paha,31103,0.11275,0.084,0.084,0.113,0.312
Kimball,31105,0.106714286,0.107,0.09,0.139,0.204
Knox,31107,0.195145833,0.167,0.124,0.252,0.309
Lancaster,31109,0.124707958,0.116,0.107,0.166,0.23
Lincoln,31111,0.143694444,0.129,0.116,0.179,0.246
Logan,31113,0.026666667,0.027,0.027,0.103,0.179
Loup,31115,,,,,
Madison,31119,0.116941667,0.097,0.09,0.147,0.211
McPherson,31117,0.418666667,0.419,0.305,0.419,0.419
Merrick,31121,0.075452381,0.067,0.067,0.108,0.165
Morrill,31123,0.136033333,0.136,0.136,0.227,0.318
Nance,31125,0.010666667,0.011,0.011,0.125,0.125
Nemaha,31127,0.089388889,0.077,0.07,0.115,0.178
Nuckolls,31129,0.156462963,0.144,0.137,0.22,0.296
Otoe,31131,0.155059524,0.151,0.139,0.171,0.281
Pawnee,31133,0.184166667,0.184,0.184,0.184,0.184
Perkins,31135,0.115027778,0.115,0.115,0.153,0.267
Phelps,31137,0.083972222,0.084,0.065,0.122,0.16
Pierce,31139,0.203916667,0.187,0.175,0.255,0.346
Platte,31141,0.15797619,0.139,0.125,0.2,0.269
Polk,31143,0.165,0.165,0.165,0.211,0.347
Red Willow,31145,0.156136364,0.141,0.128,0.192,0.234
Richardson,31147,0.116066667,0.093,0.088,0.179,0.207
Rock,31149,0.06925,0.069,0.069,0.069,0.069
Saline,31151,0.111433333,0.092,0.092,0.184,0.275
Sarpy,31153,0.144586142,0.136,0.121,0.175,0.228
Saunders,31155,0.090583333,0.078,0.078,0.116,0.212
Scotts Bluff,31157,0.161152439,0.144,0.129,0.194,0.256
Seward,31159,0.099325,0.096,0.088,0.179,0.222
Sheridan,31161,0.081733333,0.082,0.07,0.127,0.173
Sherman,31163,0.159583333,0.131,0.131,0.245,0.245
Sioux,31165,,,,,
Stanton,31167,,,,,
Thayer,31169,0.100666667,0.101,0.072,0.215,0.215
Thomas,31171,,,,,
Thurston,31173,0.180125,0.152,0.137,0.237,0.323
Valley,31175,0.04,0.04,0.04,0.04,0.04
Washington,31177,0.168866667,0.157,0.149,0.189,0.249
Wayne,31179,0.116533333,0.111,0.099,0.225,0.248
Webster,31181,0.136958333,0.137,0.137,0.308,0.308
Wheeler,31183,0.04,0.04,0.04,0.268,0.268
York,31185,0.118930556,0.109,0.109,0.157,0.242
